Mois,Huawei Honor 9
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,9
2016-09,14
2016-10,0
2016-11,22
2016-12,7
2017-01,15
2017-02,15
2017-03,13
2017-04,9
2017-05,14
2017-06,15
2017-07,47
2017-08,51
2017-09,34
2017-10,43
2017-11,92
2017-12,81
2018-01,100
2018-02,55
2018-03,56
2018-04,67
2018-05,98
2018-06,37
2018-07,54
2018-08,100
2018-09,79
2018-10,73
2018-11,88
2018-12,80
2019-01,57
2019-02,55
2019-03,36
2019-04,38
2019-05,42
2019-06,43
2019-07,35
2019-08,47
2019-09,32
2019-10,22
2019-11,29
2019-12,29
2020-01,17
2020-02,29
2020-03,18
2020-04,22
2020-05,22
2020-06,19
